ID,Education,educationText,Field2,fieldText2,profession,proftext,EngProf,Field,fieldText
1,4,MAplus,1,engineering,4,managers,0,1,engineering
2,4,MAplus,1,engineering,4,managers,0,1,engineering
3,4,MAplus,1,engineering,4,managers,0,1,engineering
4,4,MAplus,1,engineering,4,managers,0,1,engineering
5,4,MAplus,1,engineering,4,managers,0,1,engineering
6,4,MAplus,1,engineering,4,managers,0,1,engineering
7,4,MAplus,1,engineering,4,managers,0,1,engineering
8,4,MAplus,1,engineering,4,managers,0,1,engineering
9,4,MAplus,1,engineering,4,managers,0,1,engineering
10,4,MAplus,1,engineering,5,accountants,0,1,engineering
11,4,MAplus,1,engineering,5,accountants,0,1,engineering
12,4,MAplus,1,engineering,5,accountants,0,1,engineering
13,4,MAplus,1,engineering,5,accountants,0,1,engineering
14,4,MAplus,1,engineering,5,accountants,0,1,engineering
15,4,MAplus,1,engineering,5,accountants,0,1,engineering
16,4,MAplus,1,engineering,5,accountants,0,1,engineering
17,4,MAplus,1,engineering,5,accountants,0,1,engineering
18,4,MAplus,1,engineering,6,ceo,0,1,engineering
19,4,MAplus,1,engineering,6,ceo,0,1,engineering
20,4,MAplus,1,engineering,6,ceo,0,1,engineering
21,4,MAplus,1,engineering,6,ceo,0,1,engineering
22,4,MAplus,1,engineering,6,ceo,0,1,engineering
23,4,MAplus,1,engineering,6,ceo,0,1,engineering
24,4,MAplus,1,engineering,6,ceo,0,1,engineering
25,4,MAplus,1,engineering,7,nurses,0,1,engineering
26,4,MAplus,1,engineering,7,nurses,0,1,engineering
27,4,MAplus,1,engineering,7,nurses,0,1,engineering
28,4,MAplus,1,engineering,7,nurses,0,1,engineering
29,4,MAplus,1,engineering,7,nurses,0,1,engineering
30,4,MAplus,1,engineering,7,nurses,0,1,engineering
31,4,MAplus,1,engineering,7,nurses,0,1,engineering
32,4,MAplus,1,engineering,8,physician,0,1,engineering
33,4,MAplus,1,engineering,8,physician,0,1,engineering
34,4,MAplus,1,engineering,8,physician,0,1,engineering
35,4,MAplus,1,engineering,8,physician,0,1,engineering
36,4,MAplus,1,engineering,8,physician,0,1,engineering
37,4,MAplus,1,engineering,8,physician,0,1,engineering
38,4,MAplus,1,engineering,8,physician,0,1,engineering
39,4,MAplus,1,engineering,9,cashiers,0,1,engineering
40,4,MAplus,1,engineering,9,cashiers,0,1,engineering
41,4,MAplus,1,engineering,9,cashiers,0,1,engineering
42,4,MAplus,1,engineering,9,cashiers,0,1,engineering
43,4,MAplus,1,engineering,9,cashiers,0,1,engineering
44,4,MAplus,1,engineering,9,cashiers,0,1,engineering
45,4,MAplus,1,engineering,10,scientist,0,1,engineering
46,4,MAplus,1,engineering,10,scientist,0,1,engineering
47,4,MAplus,1,engineering,10,scientist,0,1,engineering
48,4,MAplus,1,engineering,10,scientist,0,1,engineering
49,4,MAplus,1,engineering,10,scientist,0,1,engineering
50,4,MAplus,1,engineering,10,scientist,0,1,engineering
51,4,MAplus,1,engineering,11,other,0,1,engineering
52,4,MAplus,1,engineering,11,other,0,1,engineering
53,4,MAplus,1,engineering,11,other,0,1,engineering
54,4,MAplus,1,engineering,11,other,0,1,engineering
55,4,MAplus,2,computer,11,other,0,2,business
56,4,MAplus,2,computer,11,other,0,2,business
57,4,MAplus,2,computer,11,other,0,2,business
58,4,MAplus,2,computer,11,other,0,2,business
59,4,MAplus,2,computer,11,other,0,2,business
60,4,MAplus,2,computer,11,other,0,2,business
61,4,MAplus,2,computer,11,other,0,2,business
62,4,MAplus,2,computer,11,other,0,2,business
63,4,MAplus,2,computer,11,other,0,2,business
64,4,MAplus,2,computer,11,other,0,2,business
65,4,MAplus,2,computer,11,other,0,2,business
66,4,MAplus,2,computer,11,other,0,2,business
67,4,MAplus,2,computer,11,other,0,2,business
68,4,MAplus,2,computer,11,other,0,2,business
69,4,MAplus,2,computer,11,other,0,2,business
70,4,MAplus,2,computer,11,other,0,2,business
71,4,MAplus,2,computer,11,other,0,2,business
72,4,MAplus,2,computer,11,other,0,2,business
73,4,MAplus,2,computer,11,other,0,2,business
74,4,MAplus,2,computer,11,other,0,2,business
75,4,MAplus,2,computer,11,other,0,2,business
76,4,MAplus,2,computer,11,other,0,2,business
77,4,MAplus,2,computer,11,other,0,2,business
78,4,MAplus,2,computer,11,other,0,2,business
79,4,MAplus,2,computer,11,other,0,2,business
80,4,MAplus,2,computer,11,other,0,2,business
81,4,MAplus,2,computer,11,other,0,2,business
82,4,MAplus,3,med,11,other,0,2,business
83,4,MAplus,3,med,11,other,0,2,business
84,4,MAplus,3,med,11,other,0,2,business
85,4,MAplus,3,med,11,other,0,2,business
86,4,MAplus,3,med,11,other,0,2,business
87,4,MAplus,3,med,11,other,0,2,business
88,4,MAplus,3,med,11,other,0,2,business
89,4,MAplus,3,med,11,other,0,2,business
90,4,MAplus,3,med,11,other,0,2,business
91,4,MAplus,3,med,11,other,0,2,business
