year,education,edtext,degtext,groundRow,groundCol,degree,proftext,sideBrow,sideBcol,sideCrow,sideCcol,profession,row,col,color,barRow,barCol,boxCol,boxRow
2017,3,BA,engineering,5,10,1,managers,80,30,65,30,4,9,18,test1,200,1,36,150
2017,3,BA,engineering,5,13,1,managers,82,30,61,30,4,9,19,test2,195,1,36,145
2017,3,BA,engineering,5,16,1,managers,84,30,57,30,4,9,20,test3,190,1,36,140
2017,3,BA,engineering,10,10,1,managers,80,32,65,35,4,10,1,test1,185,1,36,135
2017,3,BA,engineering,10,13,1,managers,82,32,61,35,4,10,2,test2,180,1,36,130
2017,3,BA,engineering,10,16,1,managers,84,32,57,35,4,10,3,test3,200,2,36,125
2017,3,BA,engineering,15,10,1,managers,84,34,65,40,4,10,4,test1,195,2,36,120
2017,3,BA,engineering,15,13,1,managers,82,34,61,40,4,10,5,test2,190,2,36,115
2017,3,BA,engineering,15,16,1,accountants,70,30,50,30,5,10,6,test3,185,2,36,110
2017,3,BA,engineering,20,10,1,accountants,72,30,46,30,5,10,7,test1,180,2,36,105
2017,3,BA,engineering,20,13,1,accountants,74,30,42,30,5,10,8,test2,200,3,38,150
2017,3,BA,engineering,20,16,1,accountants,70,32,50,35,5,10,9,test3,195,3,38,145
2017,3,BA,engineering,25,10,1,accountants,72,32,46,35,5,10,10,test1,190,3,38,140
2017,3,BA,engineering,25,13,1,accountants,74,32,42,35,5,10,11,test2,185,3,38,135
2017,3,BA,engineering,25,16,1,accountants,74,34,50,40,5,10,12,test3,180,3,38,130
2017,3,BA,engineering,30,10,1,accountants,72,34,46,40,5,10,13,test1,200,4,38,125
2017,3,BA,engineering,30,13,1,ceo,60,30,35,30,6,10,14,test2,195,4,38,120
2017,3,BA,engineering,30,16,1,ceo,62,30,31,30,6,10,15,test3,190,4,38,115
2017,3,BA,engineering,35,10,1,ceo,64,30,27,30,6,10,16,test1,185,4,38,110
2017,3,BA,engineering,35,13,1,ceo,60,32,35,35,6,10,17,test2,180,4,38,105
2017,3,BA,engineering,35,16,1,ceo,62,32,31,35,6,10,18,test3,200,5,40,150
2017,3,BA,engineering,40,10,1,ceo,64,32,27,35,6,10,19,test1,195,5,40,145
2017,3,BA,engineering,40,13,1,ceo,64,34,35,40,6,10,20,test2,190,5,40,140
2017,3,BA,engineering,40,16,1,nurses,130,30,140,30,7,11,1,test3,185,5,40,135
2017,3,BA,engineering,45,10,1,nurses,132,30,136,30,7,11,2,test1,180,5,40,130
2017,3,BA,engineering,45,13,1,nurses,134,30,132,30,7,11,3,test2,200,6,40,125
2017,3,BA,engineering,45,16,1,nurses,130,32,140,35,7,11,4,test3,195,6,40,120
2017,3,BA,engineering,50,10,1,nurses,132,32,136,35,7,11,5,test1,190,6,40,115
2017,3,BA,engineering,50,13,1,nurses,134,32,132,35,7,11,6,test2,185,6,40,110
2017,3,BA,engineering,50,16,1,nurses,134,34,140,40,7,11,7,test3,180,6,40,105
2017,3,BA,engineering,55,10,1,physician,120,30,125,30,8,11,8,test1,200,7,42,150
2017,3,BA,engineering,55,13,1,physician,122,30,121,30,8,11,9,test2,195,7,42,145
2017,3,BA,engineering,55,16,1,physician,124,30,117,30,8,11,10,test3,190,7,42,140
2017,3,BA,engineering,60,10,1,physician,120,32,125,35,8,11,11,test1,185,7,42,135
2017,3,BA,engineering,60,13,1,physician,122,32,121,35,8,11,12,test2,180,7,42,130
2017,3,BA,engineering,60,16,1,physician,124,32,117,35,8,11,13,test3,200,8,42,125
2017,3,BA,engineering,65,10,1,physician,124,34,125,40,8,11,14,test1,195,8,42,120
2017,3,BA,engineering,65,13,1,cashiers,50,30,20,30,9,11,15,test2,190,8,42,115
2017,3,BA,engineering,65,16,1,cashiers,52,30,16,30,9,11,16,test3,185,8,42,110
2017,3,BA,engineering,70,10,1,cashiers,54,30,12,30,9,11,17,test1,180,8,42,105
2017,3,BA,engineering,70,13,1,cashiers,50,32,20,35,9,11,18,test2,200,9,44,150
2017,3,BA,engineering,70,16,1,cashiers,52,32,16,35,9,11,19,test3,195,9,44,145
2017,3,BA,engineering,75,10,1,cashiers,54,32,12,35,9,11,20,test1,190,9,44,140
2017,3,BA,engineering,75,13,1,scientist,110,30,110,30,10,12,1,test2,185,9,44,135
2017,3,BA,engineering,75,16,1,scientist,112,30,106,30,10,12,2,test3,180,9,44,130
2017,3,BA,engineering,80,10,1,scientist,114,30,102,30,10,12,3,test1,200,10,44,125
2017,3,BA,engineering,80,13,1,scientist,110,32,110,35,10,12,4,test2,195,10,44,120
2017,3,BA,engineering,80,16,1,scientist,112,32,106,35,10,12,5,test3,190,10,44,115
2017,3,BA,engineering,85,10,1,scientist,114,32,102,35,10,12,6,test1,185,10,44,110
2017,3,BA,engineering,85,13,1,other,40,30,0,0,11,12,7,test2,180,10,44,105
2017,3,BA,engineering,85,16,1,other,42,30,0,0,11,12,8,test3,200,11,46,150
2017,3,BA,engineering,90,10,1,other,44,30,0,0,11,12,9,test1,195,11,46,145
2017,3,BA,engineering,90,13,1,other,40,32,0,0,11,12,10,test2,190,11,46,140
