,Class,newClusters,colorStyle,Sentence, num,After,Berfore,During,Intro,Outside Analysis,Personal,Type of Care,Before,xs,ys
0,Intro,0,clusterZero, 'The complaint focused on the ineffectiveness of (free) health services citing problems such as poor diagnosis lack of <span>treatment</span> and failure to <span>cover</span> the <span>costs</span> of treating certain health conditions.',100,0,0,0,0.3,0,0,0,0,-0.03953726602688570,-0.11900477549141000
1,Intro,0,clusterZero, 'The <span>treatment</span> journey is a tiring one. Most people do not follow up or return for <span>treatment</span> because of the bad first experience.',100,0,0,0,0.3,0,0,0,0,-0.09709340848122590,-0.5761409355518230
25,Berfore,0,clusterZero, 'They visit a doctor to obtain <span>treatment</span> and diagnosis.',100,0,1,0,0,0,0,0,0.3,-0.4734522813813140,-0.2859884385661960
32,Berfore,0,clusterZero, 'Conducting all tests or follow-up medical <span>treatment</span> necessary even if he had to incur the full <span>costs</span> of the <span>treatment</span> and diagnosis and was unable to find an entity to provide free <span>treatment</span> or financial support <span>cover</span>ing the <span>costs</span> of <span>treatment</span>.',100,0,1,0,0,0,0,0,0.3,-0.3055427012236970,-0.48651948871865000
35,Berfore,0,clusterZero, 'However he does not mind incurring the <span>costs</span> and burden of moving to another governorate for medical <span>treatment</span> if it is free and if the service is excellent.',100,0,1,0,0,0,0,0,0.3,-0.15487087821570000,-0.42125331268538000
43,Berfore,0,clusterZero, 'They prefer going to a private doctor and bearing the <span>costs</span> of <span>treatment</span> thus saving time effort and travel <span>costs</span>.',100,0,1,0,0,0,0,0,0.3,-0.4262753569535360,-0.41336634056503000
90,During,0,clusterZero, 'He asked me to undergo tomography but I cannot <span>cover</span> the <span>cost</span> of that.',100,0,0,0.3,0,0,0,0,0,-0.49249302245854500,-0.5692251517971450
109,During,0,clusterZero,'They pointed out that they have already paid a minimum of 4 JDs for the doctor at this point so they deserve to be examined and given <span>treatment</span>.',100,0,0,0.3,0,0,0,0,0,-0.4034249000035200,-0.33279382432193600
121,During,0,clusterZero,Ineffectiveness / Discontent / Difficulty / Fatigue / High <span>cost</span> / Poor Regulation / Lack of Credibility.,,0,0,0.3,0,0,0,0,0,-0.5495256360217830,-0.5363023333795340
147,After,0,clusterZero, 'Some of them did not complete their <span>treatment</span> because of their inability to <span>cover</span> the <span>costs</span> of <span>treatment</span>.',100,0.3,0,0,0,0,0,0,0,-0.3569377458454070,-0.5169160085504070
160,After,0,clusterZero,Follow-up <span>treatment</span> with the patient during the sickness. The <span>cost</span> for the follow-up was low.,,0.3,0,0,0,0,0,0,0,-0.4258342359583930,-0.516584989449689
177,Outside Analysis,0,clusterZero, 'If only there is a <span>treatment</span> center for burns and cosmetic <span>treatment</span>.',100,0,0,0,0,0.3,0,0,0,-0.19396650538661100,-0.579190934056595
178,Outside Analysis,0,clusterZero, 'If only there is <span>treatment</span> and <span>cover</span>age for the <span>cost</span> of delivery and childbirth.',100,0,0,0,0,0.3,0,0,0,-0.4308921747691380,-0.5589894973983680
180,Outside Analysis,0,clusterZero, 'I wish there was full <span>cover</span>age of the <span>costs</span> of medications and at least partial <span>cover</span>age of the <span>costs</span> of operations.',100,0,0,0,0,0.3,0,0,0,-0.16870554859789000,-0.6505185844587090
197,Outside Analysis,0,clusterZero, 'Indeed she went to Rahma Hospital and had to <span>cover</span> the <span>cost</span> of transportation.',100,0,0,0,0,0.3,0,0,0,-0.6099546845731980,-0.04374487510739420
205,Outside Analysis,0,clusterZero, 'She endured a lot but still looks for someone to help her <span>cover</span> the <span>cost</span> of <span>treatment</span> for her and her children.',100,0,0,0,0,0.3,0,0,0,-0.323152198400737,-0.5429614566681320
221,Outside Analysis,0,clusterZero, 'They also confirmed that the only thing they want is medical <span>treatment</span> and medicine that is accessible to everyone.',100,0,0,0,0,0.3,0,0,0,-0.10009572294005500,-0.6703069755125900
232,Personal,0,clusterZero, 'They cannot find <span>treatment</span> and there is no one who can <span>cover</span> the expenses of their <span>treatment</span>.',100,0,0,0,0,0,0.3,0,0,-0.31967015551327400,-0.5861969187762280
233,Personal,0,clusterZero, 'No organization can afford to fully <span>cover</span> the <span>cost</span> of their <span>treatment</span>.',100,0,0,0,0,0,0.3,0,0,-0.37515724822178100,-0.5478504907105610
235,Personal,0,clusterZero, 'Some go to organizations believing that they will find <span>treatment</span> but they find nothing and have to endure the <span>cost</span> of transportation.',100,0,0,0,0,0,0.3,0,0,-0.4541463876057250,-0.44514213646533400
248,Personal,0,clusterZero, 'Others wish IRC would open a department to provide healthcare services respond to all their health needs and <span>cover</span> the expenses and the <span>cost</span> of <span>treatment</span> and emergency operations for them and their children.',100,0,0,0,0,0,0.3,0,0,-0.061813241922164000,-0.3403054714563260
