Year,Other,Lebanon,Afghanistan,Ethiopia,Libya,Russia,Bosnia/Herzegovina,Egypt,Somalia,Yemen,Sudan,Iraq,Syria
1991,140,0,0,80,0,0,0,430,0,0,310,0
1992,10,0,0,0,0,0,100,0,0,0,0,160,0
1993,18,0,0,0,0,0,388,0,0,0,0,62,0
1994,27,0,0,0,0,0,265,0,13,0,0,269,2
1995,33,0,0,0,0,0,300,5,9,0,0,415,0
1996,37,0,0,0,2,93,257,1,9,0,16,695,0
1997,8,0,0,0,2,65,88,0,25,0,12,533,0
1998,2,0,3,1,4,66,33,0,14,1,12,676,10
1999,7,0,0,2,4,31,33,0,31,1,29,887,1
2000,68,16,8,15,10,145,45,85,60,17,278,8128,112
2001,151,0,3,6,2,96,14,115,45,12,1257,5513,162
2002,104,0,6,8,0,94,13,0,28,10,1081,4576,71
2003,60,0,0,9,1,89,13,0,81,6,575,7496,96
2004,139,0,2,12,0,94,12,44,66,2,101,13216,114
2005,153,7,0,6,0,102,12,0,40,5,120,17283,105
2006,136,14,0,4,0,121,12,31,55,6,60,519123,99
2007,142,0,0,2,0,139,0,34,128,0,111,500000,101
2008,159,0,120,0,0,113,17,84,349,6,201,501370,168
2009,166,0,223,0,0,96,12,101,294,28,358,452470,282
2010,154,0,525,0,0,47,13,96,298,27,543,451466,485
2011,155,0,2769,0,33,31,12,219,322,138,771,456040,2811
2012,149,0,2445,1,4,27,10,137,462,108,815,67441,239289
2013,239,0,194,0,9,27,10,147,726,101,1786,59654,585304
2014,430,75,50,5,90,23,10,273,795,1308,3216,45325,623112
2015,549,77,17,19,157,36,9,270,763,3232,2967,53019,628223
2016,603,101,17,40,181,45,0,368,773,5704,3260,60904,648836
