"Class", 'Sentence", num
"Intro", 'The complaint focused on the ineffectiveness of (free) health services citing problems such as poor diagnosis lack of treatment and failure to cover the costs of treating certain health conditions.', 100,
"Intro", 'The treatment journey is a tiring one. Most people do not follow up or return for treatment because of the bad first experience.', 100,
"Intro", 'Poor economic situation is the biggest challenge faced by families and a major obstacle to receiving excellent service in the private sector.', 100,
"Intro", 'Lack of credibility in dealing nepotism and favoritism carelessness by employees financial exploitation (transportation / taxi).', 100,
"Intro", 'Focus on the weakness of free health services and inaccurate diagnosis.', 100,
"Intro", 'Poor financial conditions are a major obstacle to receiving better service and securing treatment.', 100,
"Intro", 'We need medical security because we are afraid aid might be cut off just like the case with Jordan Health Aid Society.', 100,
"Intro", 'We receive the services from the Emirati hospital and other places.', 100,
"Intro", 'They suffer from long waiting times because of the pressure on the Emirati Hospital.', 100,
"Intro", 'The group agreed that the Emirati Hospital provides good service.', 100,
"Intro", 'One of the women is a beneficiary of Amal Association.', 100,
"Intro", 'They felt comfortable after talking about their suffering and talking to people who would listen.', 100,
"Type of Care", 'Emphasis was placed on care provided by UNHCR centers or free centers due to the presence of large number of children.', 100,
"Type of Care", 'They do not follow any self-care system or use alternative medicine before going to the doctor.', 100,
"Type of Care", 'The type of care received focused on medical care from: private clinics Emirates Hospital a university health center.', 100,
"Type of Care", 'The types of care were limited to clinics and hospitals self-care and consultations with pharmacists.', 100,
"Type of Care", 'Drink plenty of water to keep your body clean from the inside.', 100,
"Type of Care", 'Stay away from ready-made food and canned foods.', 100,
"Type of Care", 'Secure adequate and good accommodation with good temperature levels in the summer and winter.', 100,
"Type of Care", 'Drink herbs all the time.', 100,
"Type of Care", 'Wake up early.', 100,
"Type of Care", 'Drink hot water in the morning.', 100,
"Type of Care", 'Drink herbs constantly.', 100,
"Type of Care", 'Reduce the meals.', 100,
"Type of Care", 'Informal care private clinic pharmacies.', 100,
"Berfore", 'They visit a doctor to obtain treatment and diagnosis.', 100,
"Berfore", 'Mobility is a burden with more than one child.', 100,
"Berfore", 'The presence of a number of children makes them always vulnerable to emergencies so there is always a visit to health care centers.', 100,
"Berfore", 'They depend on asking relatives and friends and the experience of others in knowing centers and services.', 100,
"Berfore", 'In the event that a free service is available in another governorate they can handle the burden and transportation costs if the service was good.', 100,
"Berfore", 'Not receiving treatment without a doctor diagnosis.', 100,
"Berfore", 'Not relying on an herbal-based medication system or alternative medicine.', 100,
"Berfore", 'Conducting all tests or follow-up medical treatment necessary even if he had to incur the full costs of the treatment and diagnosis and was unable to find an entity to provide free treatment or financial support covering the costs of treatment.', 100,
"Berfore", 'His battle with chronic diseases:  He is interested in centers that provide periodic care and follow-up and is keen to get periodic treatment monthly.', 100,
"Berfore", 'Most of the places of medical service providers are confined to Irbid his city of residence. ', 100,
"Berfore", 'However he does not mind incurring the costs and burden of moving to another governorate for medical treatment if it is free and if the service is excellent.', 100,
"Berfore", 'However if the service is not free or requires a small fee he prefers to go to a private clinic in the same area and save effort and the cost of transportation.', 100,
"Berfore", 'As for his experience in receiving treatment his evaluation of the experience varies depending on where he received the treatment.', 100,
"Berfore", 'The table below - (Classification of beneficiaries of health resources) contains his evaluation of every service based on location.', 100,
"Berfore", 'Relying on self-care if one of their children is exposed to certain symptoms and that they do not resort to the doctor immediately (they use herbs pain killers and children's hypothermia drugs are always available at home).', 100,
"Berfore", 'At other times they depend on the pharmacist’s diagnosis in order to prescribe medications without a doctor.', 100,
"Berfore", 'Depending on people networks for information.', 100,
"Berfore", 'They are totally unable to go to another governorate to receive treatment even if the service was free of charge because they have children who cannot be left at home or be taken on a treatment trip that might last a full day.', 100,
"Berfore", 'They prefer going to a private doctor and bearing the costs of treatment thus saving time effort and travel costs.', 100,
"Berfore", 'Feeling of pain in the lower back. Increasing pain drove her to go to the Emirati Hospital She inquired and through friends and acquaintances was able to A psychological condition that led to.', 100,
"Berfore", 'With severe abdominal pain she was new in the area and she relied on painkillers/herbs which were very costly.', 100,
"Berfore", 'After the pain persisted for 3 months she decided to visit the Emirati Hospital.', 100,
"Berfore", 'The brother suffered from severe pain in his stomach abdomen and digestive system.', 100, 
"Berfore", 'They did an ECHO scan at the Emirati Hospital.', 100, 
"Berfore", 'He took some painkillers but after the pain increased they were instructed to hospitalize him through Jordan Health Aid Society but since they live outside the camp they were not covered.', 100,
"Berfore", 'So they were transferred to Mafraq Governmental Hospital which in turn transferred them to Zarqa.', 100,
"Berfore", 'When we are in a very critical health situation the first thing we can think of is where to go? Who will help us? Are there organizations close by so we do not have endure troubles in transportation?", 100,
"Berfore", 'If we have difficulty dealing with the health situation we have to go to private and expensive clinics.', 100,
"Berfore", 'I have children in their thirties who are helping me get medical care book appointments even follow up my treatment but unfortunately they will be leaving the country and I do not know what to do with my health.', 100,
"Berfore", 'I suffer from hypertension and diabetes.', 100,
"Berfore", 'I also hear about the bad treatment some people receive.', 100,
"Berfore", 'When they decided to go to government centers or private clinics some of the women were showing symptoms like headache dizziness general weakness and other symptoms of multiple communicable and non-communicable diseases.', 100,
"Berfore", 'Some of them had a chronic disease before they came to Jordan.', 100,
"Berfore", 'However when they arrived they began asking about the location of centers offering medical and health services.', 100,
"Berfore", 'They asked the neighbors and acquaintances in the area where they live.', 100,
"Berfore", 'Some discovered that the location of these services is far away from their homes and had to go by a private car at their own expense and pay a lot for transportation.', 100,
"Berfore", 'Some had centers close to their homes but preferred to go with someone to guide them to the location.', 100,
"Berfore", 'The participants mentioned that they drink bottled water look for accommodation in a well-ventilated house to avoid mold pay attention to the quality of the food they consume and refrain from eating canned and ready-made food all in order to maintain their health and the health of their families.', 100, 
"Berfore", 'They also do this so they don’t need to go to the doctor.', 100,
"Berfore", 'They said that they seek treatment at a private clinic where they can run all necessary tests.', 100,
"Berfore", 'However they have to pay for all that despite the fact that they do not always have the funds to do so.', 100,
"Berfore", 'One participant stated that she walks daily and drinks green tea not for self-care but to calm herself.', 100,
"Berfore", 'Another participant mentioned as all other participants in the session agreed with her that she knows the importance of eating fruit especially apples in the morning but they cannot keep on doing this because they cannot purchase apples regularly.', 100,
"Berfore", 'One participant confirmed that her family always rely on the use of painkillers in the event of a headache or any other sort of pain and do not go to the doctor unless their health deteriorated.', 100,
"Berfore", 'They used to go to the pharmacy and purchase painkillers.', 100,
"Berfore", 'They stressed that doctors show no interest in the patient's health condition unless the service center is not free.', 100,
"Berfore", 'All participants confirmed that they receive healthcare information by attending health awareness and education sessions and that they do not trust online information except in rare cases when information is confirmed by a friend or family member.', 100,
"Berfore", 'The relaxation behavior followed by most of the participants is sitting alone in a dark place and listening to music crying or speaking to a Facebook friend and not a friend in reality.', 100,
"Berfore", 'The participants stressed that there is no free health service center makes them feel safe.', 100, 
"Berfore", 'Instead they prefer to go to a nearby or trusted pharmacist.', 100,
"Berfore", 'They always help family members and friends in any medical condition by taking them to this trusted pharmacist.', 100,
"During", 'While comparing services in the private and the public sector it was clear that the services of the private sector are the best.', 100,
"During", 'One woman cited a popular proverb which translates to “If it’s free it’s worthless!”', 100,
"During", 'Another said: “If you have money then you are a Pasha 'Sir'”.', 100,
"During", 'Bad diagnoses and mismanagement were reported at health centers as well as over-crowding (too many patients) malpractices long waiting times and having to wait for free service hoping that they would turn out to be good.', 100,
"During", 'They depend on the information provided by others to help them. They also go to any place they hear about to get the service and make sure it is actually existent.', 100,
"During", 'Experience and evaluation of health care delivery locations vary depending on the location. Details will be listed in the table below to avoid repetition.', 100,
"During", 'In general the poor waiting experience in some places has been a source of complain especially with the existence of children.', 100,
"During", 'Access to the health care centers is challenging if they are remote or in an area not well-served by public transportation as users tend to avoid being exploited by taxi drivers.', 100,
"During", 'I woke up at 5:30 am to book to get in line early after some friends recommended I do so.', 100,
"During", 'It was very tiring.', 100,
"During", 'The doctor only gave me painkillers.', 100,
"During", 'He asked me to undergo tomography but I cannot cover the cost of that.', 100,
"During", 'Waiting in line at the Emirati Hospital after waking up very early.', 100,
"During", 'She was transferred to the governmental then to Zarqa Governmental Hospital.', 100, 
"During", 'She was admitted to the hospital after long procedures and paperwork then she underwent an appendectomy.', 100,
"During", 'Zarqa hospital admitted them after paying a small sum.', 100,
"During", 'Then after 5 hours of waiting for approvals.', 100,
"During", 'He received treatment for 9 days.', 100,
"During", 'He underwent a gastroscopy because of the severe internal bleeding in the stomach.', 100, 
"During", 'The suffering and pain lasted for 2 months before they discovered that he is suffering from renal failure and requires dialysis.', 100,
"During", 'If there is an organization that helps us by providing health care services we ask ourselves: Will there be a queue? Is there a full insurance? Will my journey to the location be a waste of time? Will I be treated badly?', 100,
"During", 'Some people get full medication attention and get treated well while others do not enjoy this advantage?', 100,
"During", 'We as refugees suffer from the effects of nepotism and favoritism.', 100,
"During", 'I always stand in line but my children have the experience and intelligence to find what is appropriate for me so I do not wait long Doctors treat me just fine and the treatment itself is excellent.', 100, 
"During", 'I hope all organizations treat people that way I am treated.', 100,
"During", 'After arriving at the center they enter and endure bad reception.', 100,
"During", 'They stand in line to register their names and then go to accounting to pay for the diagnosis.', 100,
"During", 'Afterwards they wait until their turn comes and then wait in hours and after all this trouble they see the doctor who without any examinations talks to them and provides the diagnosis.', 100,
"During", 'He then asks them to go to the hospital and transfers them to the private clinics.', 100,
"During", 'After that they don’t receive any treatment or the medication is not prescribed to them and even if they were given a prescription the medication is not available in the center and they have to buy it from private pharmacies outside the governmental center.', 100,
"During", 'They pointed out that they have already paid a minimum of 4 JDs for the doctor at this point so they deserve to be examined and given treatment.', 100,
"During", 'They have had suffered a lot because of the lack of care displayed at these centers.', 100,
"During", 'Officials deal with them as mere papers and IDs', 100,
"During", 'The participants have also disclosed that they do not have IDs or health insurance.', 100, 
"During", 'They wish they could find a place with adequate health services since they pay a lot only to receive treatment.', 100,
"During", 'Some of them go to pharmacies to buy medicine.', 100,
"During", 'They explain the symptoms to the pharmacist who then prescribes medications based on their description of the symptoms.', 100, 
"During", 'One participant reported that she had to take her sick child to a center that provides free services.', 100,
"During", 'The girl did not get a good treatment examination or medication and thus did not get better.', 100,
"During", 'She took the child to a well-known pharmacist in the area where she lives who diagnosed the condition and gave her a different drug.', 100,
"During", 'The child’s health improved because of this new drug which deepened the family’s trust in this pharmacist.', 100,
"During", 'The pharmacist was kind and sympathetic and showed compassion with the child’s condition.', 100,
"After", 'The attempt to obtain health care during the visits was mentioned more than once but the service was not up to par for various reasons such as the fact that some cases are not covered or lack of treatment.', 100,
"After", 'The length of the procedures in government hospitals was also discussed in addition to fatigue and the burden of transportation.', 100,
"After", 'The lack of medications at health care centers forces the users sometimes to personally cover the expenses.', 100,
"After", 'In some cases lack of free medication was a major problem which sometimes forced users to overlook the disease and not take any medications.', 100,
"After", 'In some cases doctors showed distinctive treatment. Some would follow the patient's condition after some time and ensure his/her safety. When she mentioned this incident I felt that it had touched her and gave her a sense of importance and appreciation.', 100,
"After", 'Could not afford the treatment/medication.', 100,
"After", 'Treatment is complete.', 100,
"After", 'He undergoes dialysis twice a week in Amman.', 100,
"After", 'Expenses are fully covered by Sams because Jordan Health Aid Society does not cover them.', 100, 
"After", 'Often they receive free medication.', 100,
"After", 'The treatment and the transportation to Amman is causing physical and psychological exhaustion not to mention that the cost of transportation for every dialysis session is 35 JDs.', 100, 
"After", 'They later discovered that he has low platelets levels and requires blood transfusion.', 100,
"After", 'Some people have experienced the feeling of comfort and justice while others discovered that going to an organization or center that provide free care is a bad idea so they decided to resort to centers or clinics and defray the services themselves.', 100,
"After", 'They think this is much better than standing in a long queue or being told that there are no doctors.', 100,
"After", 'It was clear that they have go through a lot of trouble to receive health care and they are suffering because of their health psychological and financial status.', 100,
"After", 'Some of them did not complete their treatment because of their inability to cover the costs of treatment.', 100,
"After", 'Some had to sell their furniture to fund the treatment some borrowed money and some of them admit the patient under false information in order to save his/her life.', 100,
"After", 'I cannot describe how frustration they are at government centers and the places where the health services are located because they have suffered a lot and they don’t trust them anymore.', 100,
"After", 'One of the participants shared a story: She went to a health center that provides free medical services where she was examined but did not get the medication.', 100,
"After", 'Instead the doctor wrote her a prescription to buy the medications herself from outside the center.', 100,
"After", 'This happened after she waited a long time to be seen by the doctor and travelled a long distance in public transportation.', 100,
"After", 'Now she has to go and buy the very expensive medicine which she cannot afford.', 100,
"After", 'So she returned home in a state of severe depression.', 100,
