GEOID,geolabel,state,party,pviScore,mov_2016,mov_vs_FB18,mov_vs_FB20,mov_vs_FB22,mov_vs_FB24,poe_2018,poe_2020,pct_change16_20
0401,Congressional District1 Arizona,Arizona,D,R+2,16812,11321,8490,-3983,-16964,0.042,0.045,0.432
0402,Congressional District2 Arizona,Arizona,R,R+1,37105,31766,28113,19618,11337,0.086,0.092,0.217
0409,Congressional District9 Arizona,Arizona,D,D+4,48144,42761,37801,28845,20245,0.080,0.085,0.250
0649,Congressional District49 California,California,R,R+1,5328,-8594,-21861,-49257,-75772,0.169,0.190,0.359
0610,Congressional District10 California,California,R,EVEN,10013,2131,-4897,-17119,-28863,0.165,0.174,0.209
0625,Congressional District25 California,California,R,EVEN,17472,11296,7581,-537,-8473,0.180,0.180,0.117
0621,Congressional District21 California,California,R,D+5,18838,13720,9129,1604,-5628,0.164,0.172,0.179
0607,Congressional District7 California,California,D,D+3 ,6008,3676,1879,-751,-3337,0.162,0.162,0.049
0639,Congressional District39 California,California,R,EVEN,37256,30829,23572,15654,8012,0.320,0.332,0.092
0636,Congressional District36 California,California,D,D+2,49203,42244,37197,26773,16658,0.143,0.147,0.185
0645,Congressional District45 California,California,D,R+3,52215,44663,37415,27623,18178,0.255,0.262,0.115
0603,Congressional District3 California,California,D,D+5,36079,33705,30265,27385,24617,0.136,0.139,0.087
0648,Congressional District48 California,California,R,R+4,48271,47216,46753,45659,44569,0.209,0.207,0.014
0806,Congressional District6 Colorado,Colorado,R,D+2 ,31310,29566,27723,25645,23628,0.086,0.085,0.076
0905,Congressional District5 Connecticut,Connecticut,D,D+2 ,47946,47822,43289,43143,43008,0.103,0.110,0.086
0902,Congressional District2 Connecticut,Connecticut,D,D+3 ,95997,99071,100284,102129,104191,0.045,0.043,-0.153
1227,Congressional District27 Florida,Florida,R,0,28215,17344,5566,-8108,-21288,0.504,0.505,0.102
1207,Congressional District7 Florida,Florida,D,0,10346,5156,-775,-8642,-16106,0.102,0.108,0.201
1225,Congressional District25 Florida,Florida,R,0,62740,47313,27713,6490,-13669,0.560,0.592,0.150
1213,Congressional District13 Florida,Florida,D,0,13407,10329,6358,2244,-1672,0.094,0.098,0.135
1218,Congressional District18 Florida,Florida,R,0,39683,34799,30820,24138,17678,0.116,0.119,0.140
1209,Congressional District9 Florida,Florida,D,0,50682,45768,48422,42811,36970,0.120,0.108,0.033
1712,Congressional District12 Illinois,Illinois,R,R+5 ,45479,44772,43759,42706,41718,0.018,0.020,0.196
1714,Congressional District14 Illinois,Illinois,R,R+5,63600,59706,55103,49173,43559,0.086,0.093,0.205
1706,Congressional District6 Illinois,Illinois,R,R+2,65723,60963,56966,50553,44355,0.135,0.141,0.133
