uid,GEOID,geolabel,state,year,party,pviScore,mov_2016,mov_vs_FB,poe_2018,poe_2020,pct_change16_20
1,2708,Congressional District8 Minnesota,Minnesota,2018,D,R+4,2011,1397,0.014,0.016,0.238
2,2605,Congressional District5 Michigan,Michigan,2018,D,D+5,83168,82795,0.016,0.015,0.000
3,1712,Congressional District12 Illinois,Illinois,2018,R,R+5 ,45479,44772,0.018,0.020,0.196
4,1717,Congressional District17 Illinois,Illinois,2018,D,D+3,57605,58915,0.019,0.016,-0.258
5,2302,Congressional District2 Maine,Maine,2018,R,R+2,34423,34429,0.019,0.020,0.059
6,1713,Congressional District13 Illinois,Illinois,2018,R,R+3,60859,60957,0.020,0.019,-0.044
7,5503,Congressional District3 Wisconsin,Wisconsin,2018,D,EVEN,257000,254845,0.020,0.022,0.404
8,1902,Congressional District2 Iowa,Iowa,2018,D,D+1,27273,27637,0.021,0.021,-0.025
9,1901,Congressional District1 Iowa,Iowa,2018,R,D+1,29826,28816,0.023,0.026,0.241
10,4104,Congressional District4 Oregon,Oregon,2018,D,EVEN,61171,60084,0.026,0.026,0.127
11,5501,Congressional District1 Wisconsin,Wisconsin,2018,R,R+5,123206,124613,0.029,0.027,-0.145
12,2701,Congressional District1 Minnesota,Minnesota,2018,D,R+5,2549,2489,0.029,0.029,-0.015
13,2603,Congressional District6 Michigan,Michigan,2018,R,R+4,72991,69416,0.032,0.037,0.462
14,3914,Congressional District14 Ohio,Ohio,2018,R,R+5,87071,87802,0.034,0.031,-0.134
15,3301,Congressional District1 New Hampshire,New Hampshire,2018,D,R+2,4817,3938,0.034,0.033,0.021
16,1903,Congressional District3 Iowa,Iowa,2018,R,R+1,53484,51957,0.037,0.039,0.144
17,3910,Congressional District10 Ohio,Ohio,2018,R,R+4,104309,101323,0.039,0.045,0.350
18,3102,Congressional District2 Nebraska,Nebraska,2018,R,R+4,5552,3535,0.040,0.040,0.177
19,4216,Congressional District16 Pennsylvania,Pennsylvania,2018,R,R+5,34729,35101,0.041,0.041,-0.013
20,0401,Congressional District1 Arizona,Arizona,2018,D,R+2,16812,11321,0.042,0.045,0.432
21,3302,Congressional District2 New Hampshire,New Hampshire,2018,D,D+2,15426,13285,0.043,0.045,0.170
22,4206,Congressional District6 Pennsylvania,Pennsylvania,2018,R,R+2,51871,52240,0.044,0.042,-0.032
23,3901,Congressional District1 Ohio,Ohio,2018,R,R+5,66004,62363,0.044,0.051,0.383
24,0902,Congressional District2 Connecticut,Connecticut,2018,D,D+3 ,95997,99071,0.045,0.043,-0.153
25,4217,Congressional District17 Pennsylvania,Pennsylvania,2018,D,R+1,22047,20382,0.045,0.048,0.130
26,3624,Congressional District24 New York,New York,2018,R,D+3,61604,59098,0.045,0.049,0.207
27,2608,Congressional District8 Michigan,Michigan,2018,R,R+4,61842,61777,0.046,0.047,0.048
28,3619,Congressional District19 New York,New York,2018,R,R+2,26502,26460,0.048,0.051,0.040
29,4105,Congressional District5 Oregon,Oregon,2018,D,EVEN,34566,32515,0.059,0.061,0.139
30,4215,Congressional District15 Pennsylvania,Pennsylvania,2018,R,R+4,64329,63880,0.060,0.063,0.059
31,2509,Congressional District9 Massachusetts,Massachusetts,2018,D,D+4,82712,82871,0.062,0.058,-0.041
32,2003,Congressional District3 Kansas,Kansas,2018,R,R+4,35869,30867,0.066,0.075,0.346
33,2702,Congressional District2 Minnesota,Minnesota,2018,R,R+2,6959,3606,0.067,0.072,0.212
34,5303,Congressional District3 Washington,Washington,2018,R,R+4,68098,65459,0.067,0.074,0.218
35,5102,Congressional District2 Virginia,Virginia,2018,R,0,65607,64250,0.068,0.071,0.090
36,4207,Congressional District7 Pennsylvania,Pennsylvania,2018,R,R+1,71506,65720,0.073,0.082,0.304
37,5310,Congressional District10 Washington,Washington,2018,D,D+5,47044,43724,0.076,0.078,0.158
38,3403,Congressional District3 New Jersey,New Jersey,2018,R,R+2,62310,60736,0.079,0.085,0.116
39,0409,Congressional District9 Arizona,Arizona,2018,D,D+4,48144,42761,0.080,0.085,0.250
40,3402,Congressional District2 New Jersey,New Jersey,2018,R,R+1,63090,57944,0.083,0.090,0.230
41,5308,Congressional District8 Washington,Washington,2018,R,EVEN,58461,57801,0.086,0.086,0.045
42,0806,Congressional District6 Colorado,Colorado,2018,R,D+2 ,31310,29566,0.086,0.085,0.076
